aircraft_id,flight_hours,cycles_since_last_maintenance,oil_temp,vibration,pressure_ratio,AOG_flag
52,7124,191,87.26048644225344,0.5643517677649943,34.845542241060365,0
93,9528,373,78.3819230075548,0.45689298590576705,31.406426144417093,0
15,7072,79,92.10189924014175,0.4920673803623787,30.277517588605622,0
72,236,93,80.88832264323638,0.49794205729091356,27.68317140965018,0
61,1129,225,74.48249954137249,0.6606260380726673,35.38470027847363,0
21,2694,64,92.47411449946163,0.3859554213229947,29.867290136706668,0
83,7306,87,75.1349250000758,0.45619271432186925,35.1612059529468,0
87,761,87,89.82089386691713,0.3417811949124858,34.482394403748536,0
75,2572,200,88.60559760437927,0.512390824563607,36.058406449041534,0
75,186,213,86.59777050609938,0.43764909865096663,34.27651716907949,0
88,6319,203,82.38612525891718,0.4497828493147422,31.370473669972846,0
100,8243,400,87.51398647262789,0.6484690402598757,32.047722859471676,0
24,7068,381,90.24242436852275,0.41766304773864604,32.07360676025228,0
3,2873,88,80.07094751762264,0.48404779519338775,31.193762028488795,0
22,1800,475,89.88186836489741,0.45413997138101403,27.130346915150607,1
53,2800,60,89.65437255968622,0.4604169623330072,25.53497924930089,0
2,6915,270,86.46525545460777,0.7771789609491639,34.27648780482748,1
88,1747,93,82.31012560959444,0.3265024303054124,31.45723391702039,0
30,6138,306,89.67728682424388,0.5644068542994957,34.88011754268628,0
38,5264,26,87.54156478081262,0.7427373384379684,30.861383307734222,1
2,5620,213,79.92020168402716,0.6079085771347186,31.996551305586,0
64,3787,73,83.16322095615877,0.5046942165449758,34.7885867190484,0
60,696,60,89.0952746921035,0.3827231679874907,36.66601471842523,0
21,4645,185,85.57290308550422,0.6304774334043409,31.05146224227315,0
33,8776,30,90.42991447222663,0.59373459780957,28.999757772239,0
76,8937,218,83.29176652175802,0.34703075629983454,35.6390244288265,0
58,4857,11,80.0005235387595,0.4679718770038978,31.138742401033646,0
22,4484,301,95.96801307805036,0.37939060537218805,30.544282624885575,1
89,9012,414,76.59552458626754,0.21404799613255576,30.80061993653728,1
49,4833,31,82.50080201299168,0.3770642519381675,29.84409820984157,0
91,7181,159,86.39874000349992,0.5105439226181371,34.321236251446166,0
59,8790,488,89.93041945738855,0.5580319177259551,27.985311888566688,1
42,7217,236,88.2322468427113,0.46765630468572633,32.30615347193855,0
92,4829,226,96.5562950247144,0.637412539250216,32.749126419222264,1
60,1773,180,84.41200773670934,0.6029439912743952,30.204364049491893,0
80,8406,316,80.63508369324737,0.4874722362887419,36.761397354363154,0
15,7278,45,83.90151987891775,0.4747397312378841,34.69500273983198,0
62,2394,340,83.40011735324488,0.5382739618708453,30.636413082827776,0
62,3730,457,84.6585242635493,0.49821535902065106,31.681560815530013,1
47,246,79,80.0875593855036,0.35743159184275036,34.682871584139455,0
62,3553,134,88.92028019125179,0.4704618015310798,32.24008126504264,0
51,4607,259,86.85415104668104,0.5665567197875302,36.204734416998335,0
55,5883,474,78.68059585462944,0.6314740264821312,33.6986290974476,1
64,7851,307,89.84012537935293,0.5960163896805607,32.75864983139025,0
3,5728,246,80.94259231507748,0.5334302697625258,32.73282988691158,0
51,8428,472,79.08592248847856,0.6457371642464567,41.44668993514062,1
7,3460,158,85.43664351960824,0.5423951668063208,28.944610910225226,0
21,3105,202,76.21078275300346,0.4911449948456989,28.71669185279479,0
73,3652,111,87.94751524938624,0.6478711568033473,31.275670818750964,0
39,118,467,70.80579834608403,0.5720258658832775,36.2140649939819,1
18,2342,291,79.85318655005682,0.6302003093758689,24.608339915947067,0
4,6418,437,92.87568660543955,0.38123931324742505,26.2883313976244,1
89,5197,309,81.5667039541334,0.41397313710706823,30.800816052755227,0
60,8740,118,82.4420739739685,0.4182594925595103,38.360479123621026,0
14,2048,382,91.36832527065219,0.5181776624794756,32.076322046225094,0
9,9237,16,81.03568197463841,0.6824349533162296,28.512743108212838,0
90,5718,492,88.81719090694739,0.3861053127942868,34.46614532111622,1
53,4336,330,90.8709408252966,0.5905365005803052,36.98578931104183,0
2,7001,413,87.39265157074952,0.3797431455751831,30.08393047806859,1
84,2020,226,77.7755133851787,0.7117519401731035,33.36321667796425,1
92,4288,360,81.98007070392062,0.34033483397492315,32.47027215553889,0
60,338,485,98.568098887645,0.5740300328761527,33.716796118704956,1
71,304,405,82.54738173734214,0.5880375423054577,30.62312799861716,1
44,5652,116,99.93164687788214,0.5620004988900752,33.88589300533647,1
